"sourceFile","reference","resolved","exists","caseMismatch"
"C:\Users\HP\Desktop\great portfolio\Healthyfy\frontend\html\about.html","../css/about.css","C:\Users\HP\Desktop\great portfolio\Healthyfy\frontend\html\..\css\about.css","True","False"
"C:\Users\HP\Desktop\great portfolio\Healthyfy\frontend\html\about.html","index.html","C:\Users\HP\Desktop\great portfolio\Healthyfy\frontend\html\index.html","True","False"
"C:\Users\HP\Desktop\great portfolio\Healthyfy\frontend\html\about.html","index.html","C:\Users\HP\Desktop\great portfolio\Healthyfy\frontend\html\index.html","True","False"
"C:\Users\HP\Desktop\great portfolio\Healthyfy\frontend\html\about.html","community.html","C:\Users\HP\Desktop\great portfolio\Healthyfy\frontend\html\community.html","True","False"
"C:\Users\HP\Desktop\great portfolio\Healthyfy\frontend\html\about.html","tips.html","C:\Users\HP\Desktop\great portfolio\Healthyfy\frontend\html\tips.html","True","False"
"C:\Users\HP\Desktop\great portfolio\Healthyfy\frontend\html\about.html","login.html","C:\Users\HP\Desktop\great portfolio\Healthyfy\frontend\html\login.html","True","False"
"C:\Users\HP\Desktop\great portfolio\Healthyfy\frontend\html\about.html","about.html","C:\Users\HP\Desktop\great portfolio\Healthyfy\frontend\html\about.html","True","False"
"C:\Users\HP\Desktop\great portfolio\Healthyfy\frontend\html\about.html","contact.html","C:\Users\HP\Desktop\great portfolio\Healthyfy\frontend\html\contact.html","True","False"
"C:\Users\HP\Desktop\great portfolio\Healthyfy\frontend\html\about.html","privacy.html","C:\Users\HP\Desktop\great portfolio\Healthyfy\frontend\html\privacy.html","True","False"
"C:\Users\HP\Desktop\great portfolio\Healthyfy\frontend\html\about.html","../assets/logo.png","C:\Users\HP\Desktop\great portfolio\Healthyfy\frontend\html\..\assets\logo.png","False","False"
"C:\Users\HP\Desktop\great portfolio\Healthyfy\frontend\html\admin.html","../css/admin.css","C:\Users\HP\Desktop\great portfolio\Healthyfy\frontend\html\..\css\admin.css","True","False"
"C:\Users\HP\Desktop\great portfolio\Healthyfy\frontend\html\admin.html","admin.html","C:\Users\HP\Desktop\great portfolio\Healthyfy\frontend\html\admin.html","True","False"
"C:\Users\HP\Desktop\great portfolio\Healthyfy\frontend\html\admin.html","admin.html","C:\Users\HP\Desktop\great portfolio\Healthyfy\frontend\html\admin.html","True","False"
"C:\Users\HP\Desktop\great portfolio\Healthyfy\frontend\html\admin.html","admin-users.html","C:\Users\HP\Desktop\great portfolio\Healthyfy\frontend\html\admin-users.html","False","False"
"C:\Users\HP\Desktop\great portfolio\Healthyfy\frontend\html\admin.html","admin-reports.html","C:\Users\HP\Desktop\great portfolio\Healthyfy\frontend\html\admin-reports.html","False","False"
"C:\Users\HP\Desktop\great portfolio\Healthyfy\frontend\html\admin.html","../server/logout.php","C:\Users\HP\Desktop\great portfolio\Healthyfy\frontend\html\..\server\logout.php","False","False"
"C:\Users\HP\Desktop\great portfolio\Healthyfy\frontend\html\admin.html","../assets/logo.png","C:\Users\HP\Desktop\great portfolio\Healthyfy\frontend\html\..\assets\logo.png","False","False"
"C:\Users\HP\Desktop\great portfolio\Healthyfy\frontend\html\community.html","../css/community.css","C:\Users\HP\Desktop\great portfolio\Healthyfy\frontend\html\..\css\community.css","True","False"
"C:\Users\HP\Desktop\great portfolio\Healthyfy\frontend\html\community.html","index.html","C:\Users\HP\Desktop\great portfolio\Healthyfy\frontend\html\index.html","True","False"
"C:\Users\HP\Desktop\great portfolio\Healthyfy\frontend\html\community.html","dasboard.html","C:\Users\HP\Desktop\great portfolio\Healthyfy\frontend\html\dasboard.html","True","False"
"C:\Users\HP\Desktop\great portfolio\Healthyfy\frontend\html\community.html","community.html","C:\Users\HP\Desktop\great portfolio\Healthyfy\frontend\html\community.html","True","False"
"C:\Users\HP\Desktop\great portfolio\Healthyfy\frontend\html\community.html","tips.html","C:\Users\HP\Desktop\great portfolio\Healthyfy\frontend\html\tips.html","True","False"
"C:\Users\HP\Desktop\great portfolio\Healthyfy\frontend\html\community.html","profile.html","C:\Users\HP\Desktop\great portfolio\Healthyfy\frontend\html\profile.html","True","False"
"C:\Users\HP\Desktop\great portfolio\Healthyfy\frontend\html\community.html","../server/logout.php","C:\Users\HP\Desktop\great portfolio\Healthyfy\frontend\html\..\server\logout.php","False","False"
"C:\Users\HP\Desktop\great portfolio\Healthyfy\frontend\html\community.html","about.html","C:\Users\HP\Desktop\great portfolio\Healthyfy\frontend\html\about.html","True","False"
"C:\Users\HP\Desktop\great portfolio\Healthyfy\frontend\html\community.html","contact.html","C:\Users\HP\Desktop\great portfolio\Healthyfy\frontend\html\contact.html","True","False"
"C:\Users\HP\Desktop\great portfolio\Healthyfy\frontend\html\community.html","privacy.html","C:\Users\HP\Desktop\great portfolio\Healthyfy\frontend\html\privacy.html","True","False"
"C:\Users\HP\Desktop\great portfolio\Healthyfy\frontend\html\community.html","../assets/logo.png","C:\Users\HP\Desktop\great portfolio\Healthyfy\frontend\html\..\assets\logo.png","False","False"
